LocationID,Easting,Northing
CUVA_InvPla_393,454287.338,4569602.867
CUVA_InvPla_394,454571.834,4569876.030
CUVA_InvPla_395,454801.235,4570147.691
CUVA_InvPla_396,448713.211,4563310.443
CUVA_InvPla_397,448970.009,4563647.153
CUVA_InvPla_398,449208.551,4563910.561
CUVA_InvPla_399,449481.443,4564219.176
CUVA_InvPla_4,447215.758,4582313.276
CUVA_InvPla_40,449473.329,4580062.616
CUVA_InvPla_400,449721.204,4564502.504
CUVA_InvPla_401,450308.194,4565137.062
CUVA_InvPla_402,450547.927,4565435.466
CUVA_InvPla_403,450895.546,4565639.266
CUVA_InvPla_404,451112.557,4565861.031
CUVA_InvPla_405,452276.860,4567141.002
CUVA_InvPla_406,452629.644,4567279.032
CUVA_InvPla_407,453073.415,4567909.419
CUVA_InvPla_408,453722.092,4568519.510
CUVA_InvPla_409,453984.568,4568759.204
CUVA_InvPla_41,449734.092,4580347.880
CUVA_InvPla_410,454164.548,4569022.268
CUVA_InvPla_411,454579.777,4569370.786
CUVA_InvPla_412,454807.394,4569615.192
CUVA_InvPla_413,455048.865,4569865.214
CUVA_InvPla_414,448915.460,4563168.534
CUVA_InvPla_415,449197.823,4563370.648
CUVA_InvPla_416,449480.665,4563653.491
CUVA_InvPla_417,449759.998,4563932.793
CUVA_InvPla_418,450948.925,4565065.203
CUVA_InvPla_419,451190.908,4565352.202
CUVA_InvPla_42,448676.198,4578721.274
CUVA_InvPla_420,451450.006,4565620.457
CUVA_InvPla_421,453089.369,4567401.714
CUVA_InvPla_422,453756.920,4567893.461
CUVA_InvPla_423,454043.742,4568127.551
CUVA_InvPla_424,454335.291,4568421.680
CUVA_InvPla_425,454559.407,4568728.431
CUVA_InvPla_426,454878.445,4569011.713
CUVA_InvPla_427,455083.599,4569219.563
CUVA_InvPla_428,449264.808,4562802.714
CUVA_InvPla_429,449474.257,4563083.348
CUVA_InvPla_43,448914.980,4578926.997
CUVA_InvPla_430,449763.547,4563373.802
CUVA_InvPla_431,450003.004,4563640.426
CUVA_InvPla_432,450408.737,4563938.806
CUVA_InvPla_433,451194.589,4564858.471
CUVA_InvPla_434,451456.936,4565075.985
CUVA_InvPla_435,451739.953,4565347.299
CUVA_InvPla_436,453524.764,4567110.852
CUVA_InvPla_437,453729.170,4567271.970
CUVA_InvPla_438,454021.781,4567718.466
CUVA_InvPla_439,454288.847,4567896.091
CUVA_InvPla_44,449184.498,4579211.868
CUVA_InvPla_440,454563.754,4568186.449
CUVA_InvPla_441,455137.520,4568744.660
CUVA_InvPla_442,455412.103,4568970.141
CUVA_InvPla_443,449053.182,4561946.363
CUVA_InvPla_444,449220.370,4562236.268
CUVA_InvPla_445,449480.665,4562522.120
CUVA_InvPla_446,449764.465,4562795.171
CUVA_InvPla_447,450050.471,4563087.688
CUVA_InvPla_448,450326.497,4563352.093
CUVA_InvPla_449,450648.572,4563646.383
CUVA_InvPla_45,449483.473,4579407.732
CUVA_InvPla_450,450876.709,4563912.823
CUVA_InvPla_451,452049.732,4565099.288
CUVA_InvPla_452,452309.577,4565307.499
CUVA_InvPla_453,453526.815,4566487.941
CUVA_InvPla_454,453761.459,4566748.722
CUVA_InvPla_455,454039.107,4567062.767
CUVA_InvPla_456,454287.419,4567240.396
CUVA_InvPla_457,454577.506,4567652.028
CUVA_InvPla_458,454853.936,4567764.101
CUVA_InvPla_459,455207.418,4568151.408
CUVA_InvPla_46,448654.738,4578200.192
CUVA_InvPla_460,455420.362,4568461.817
CUVA_InvPla_461,455653.793,4568710.980
CUVA_InvPla_462,449038.160,4561486.965
CUVA_InvPla_463,449203.416,4561673.940
CUVA_InvPla_464,449480.665,4561956.435
CUVA_InvPla_465,449763.508,4562239.277
CUVA_InvPla_466,450046.351,4562522.120
CUVA_InvPla_467,450329.193,4562804.963
CUVA_InvPla_468,450601.801,4563068.093
CUVA_InvPla_469,450892.499,4563443.982
CUVA_InvPla_47,448884.999,4578428.053
CUVA_InvPla_470,451178.147,4563651.704
CUVA_InvPla_471,451460.833,4563922.485
CUVA_InvPla_472,451744.104,4564063.568
CUVA_InvPla_473,452177.604,4564570.127
CUVA_InvPla_474,452304.306,4564765.333
CUVA_InvPla_475,452594.717,4565069.106
CUVA_InvPla_476,452828.150,4565244.143
CUVA_InvPla_477,453729.271,4566199.451
CUVA_InvPla_478,454005.554,4566487.882
CUVA_InvPla_479,454288.991,4566764.761
CUVA_InvPla_48,449189.259,4578708.704
CUVA_InvPla_480,454571.833,4567047.419
CUVA_InvPla_481,454855.686,4567218.126
CUVA_InvPla_482,455137.657,4567650.928
CUVA_InvPla_483,455424.590,4567799.782
CUVA_InvPla_484,455697.325,4568224.011
CUVA_InvPla_485,455882.655,4568399.768
CUVA_InvPla_486,449284.877,4561112.990
CUVA_InvPla_487,449488.596,4561390.972
CUVA_InvPla_488,449763.508,4561673.592
CUVA_InvPla_489,450046.351,4561956.435
CUVA_InvPla_49,449480.728,4578923.733
CUVA_InvPla_490,450329.193,4562239.277
CUVA_InvPla_491,450609.052,4562517.937
CUVA_InvPla_492,450894.782,4562801.641
